Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23.0,84,1.0,3.0,0,7.0,73,1,1.0,0,1,1,1,3,,1.0,0,67
,64,1.0,2.0,0,8.0,59,1,1.0,2,2,1,-1,4,1.0,2.0,1,61
24.0,98,2.0,2.0,1,7.0,91,2,1.0,2,2,1,0,4,3.0,1.0,0,74
29.0,89,1.0,2.0,1,8.0,98,2,1.0,1,2,1,-1,4,,2.0,0,71
19.0,92,2.0,2.0,1,,65,2,1.0,3,2,1,0,4,1.0,1.0,1,70
19.0,88,2.0,2.0,1,8.0,89,2,1.0,3,2,1,1,3,3.0,1.0,0,71
29.0,84,2.0,1.0,1,7.0,68,1,1.0,1,1,1,0,2,,2.0,0,67
25.0,78,,3.0,1,6.0,50,2,1.0,1,3,1,-1,2,,3.0,0,66
17.0,94,,3.0,0,6.0,80,3,1.0,0,2,1,0,1,1.0,1.0,0,69
23.0,98,2.0,,1,8.0,71,2,1.0,0,3,1,1,5,,2.0,0,72
,80,,3.0,0,8.0,88,2,0.0,4,2,1,0,4,1.0,2.0,0,68
17.0,97,2.0,3.0,1,,87,1,,2,1,1,0,2,,1.0,0,71
21.0,83,2.0,2.0,1,8.0,97,1,1.0,2,2,1,1,4,,1.0,0,70
9.0,82,2.0,2.0,1,8.0,72,2,1.0,2,2,1,1,3,3.0,1.0,0,66
10.0,78,2.0,3.0,1,8.0,74,2,1.0,1,1,1,0,4,3.0,1.0,0,65
17.0,68,2.0,2.0,0,8.0,70,2,1.0,2,2,1,1,4,,1.0,1,64
14.0,60,2.0,1.0,1,10.0,65,1,,0,3,1,1,3,1.0,1.0,0,60
22.0,70,1.0,2.0,1,6.0,82,2,1.0,1,1,1,0,3,,1.0,1,65
15.0,80,2.0,2.0,1,,91,1,1.0,3,1,1,1,2,1.0,2.0,1,67
12.0,75,2.0,3.0,1,7.0,58,2,1.0,3,2,1,1,4,1.0,1.0,0,66
29.0,78,2.0,2.0,0,5.0,99,3,1.0,0,3,1,-1,1,,2.0,1,69
19.0,99,2.0,3.0,0,6.0,84,2,1.0,1,2,1,0,3,,1.0,0,72
20.0,74,2.0,3.0,0,8.0,89,1,1.0,1,2,1,-1,2,1.0,2.0,1,66
11.0,78,3.0,2.0,1,8.0,100,3,1.0,1,1,1,0,3,,2.0,0,66
17.0,65,1.0,3.0,1,,75,2,,2,1,1,1,3,,1.0,1,63
21.0,62,3.0,1.0,1,6.0,54,3,1.0,0,3,1,1,3,3.0,3.0,0,64
13.0,91,1.0,2.0,0,6.0,90,2,1.0,1,3,1,-1,2,,2.0,1,65
22.0,83,3.0,,1,6.0,94,2,1.0,0,3,1,0,2,1.0,2.0,0,71
16.0,90,2.0,2.0,0,4.0,58,2,1.0,1,1,1,0,3,,2.0,1,66
18.0,66,3.0,3.0,0,4.0,51,1,1.0,2,1,1,0,2,1.0,1.0,0,64
16.0,83,1.0,2.0,0,6.0,57,2,1.0,0,3,1,1,4,,1.0,1,63
31.0,70,2.0,3.0,1,7.0,66,2,,1,3,1,-1,3,1.0,1.0,0,69
20.0,69,2.0,2.0,1,8.0,96,2,1.0,2,2,1,1,3,,1.0,0,67
14.0,60,3.0,2.0,0,5.0,50,2,1.0,2,2,1,0,3,1.0,,1,61
25.0,65,3.0,2.0,0,,90,2,1.0,2,2,1,1,3,1.0,2.0,1,68
13.0,72,1.0,2.0,0,6.0,93,1,1.0,1,1,1,-1,3,,1.0,0,61
21.0,65,2.0,1.0,1,,91,1,1.0,2,2,1,1,3,,3.0,1,64
,99,2.0,,0,9.0,54,1,1.0,2,1,1,0,5,3.0,1.0,1,67
12.0,72,1.0,2.0,1,8.0,84,2,1.0,1,1,1,1,5,,1.0,1,63
,65,1.0,2.0,1,6.0,98,1,1.0,1,2,1,-1,4,,1.0,0,64
24.0,68,3.0,2.0,0,,56,1,1.0,3,3,1,0,1,1.0,1.0,0,67
21.0,84,2.0,2.0,1,6.0,52,1,1.0,1,2,1,0,2,1.0,3.0,1,65
19.0,63,1.0,3.0,0,7.0,94,2,1.0,1,2,1,1,3,,2.0,0,64
18.0,94,2.0,3.0,1,7.0,82,2,1.0,3,2,1,-1,2,1.0,1.0,0,70
11.0,98,2.0,2.0,1,9.0,82,1,1.0,1,2,1,1,3,3.0,3.0,0,68
16.0,70,2.0,2.0,1,8.0,98,2,1.0,2,2,1,1,3,,2.0,0,65
17.0,78,2.0,2.0,1,6.0,88,2,1.0,1,2,1,1,3,1.0,1.0,1,68
26.0,61,2.0,1.0,1,6.0,70,2,1.0,2,1,1,1,3,,2.0,1,64
22.0,86,,2.0,1,7.0,72,1,1.0,3,1,1,1,2,,2.0,0,68
9.0,77,2.0,2.0,0,5.0,57,2,1.0,2,2,1,0,3,,1.0,0,63
,71,1.0,2.0,1,7.0,65,1,1.0,1,2,1,1,4,1.0,2.0,0,64
18.0,68,3.0,2.0,0,7.0,72,2,,0,2,1,0,3,1.0,1.0,0,64
16.0,86,1.0,,1,8.0,63,2,1.0,2,2,1,1,4,,1.0,0,67
